Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
14/03/2026,ORATORIO SAN TOMASO,CELADINA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"BERGAMO Q.RE S.TOMASO - VIA SAN TOMASO DE' CALVI, 26",6,ritorno,FIGC
08/11/2025,EXCELSIOR SEZ. CALCIO ASD,MALPENSATA CAMPAGNOLA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,"BERGAMO Q.RE S.CATERINA - VIALE GIULIO CESARE,5",6,andata,FIGC
14/03/2026,MALPENSATA CAMPAGNOLA,EXCELSIOR SEZ. CALCIO ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:45,BERGAMO Q.RE CAMPAGNOLA - VIA GASPARINI,6,ritorno,FIGC
08/11/2025,GRASSOBBIO,ACC.CALCIO A.V. BREMBANA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"GRASSOBBIO - VIA XXV APRILE,80",6,andata,FIGC
14/03/2026,ACC.CALCIO A.V. BREMBANA,GRASSOBBIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,SAN GIOVANNI BIANCO - VIA BRIOLO ENTRO SNC,6,ritorno,FIGC
08/11/2025,LALLIO CALCIO,BERGAMO FC 1971 ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,LALLIO - VIA GRAZIA DELEDDA,6,andata,FIGC
14/03/2026,BERGAMO FC 1971 ASD,LALLIO CALCIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,BERGAMO Q.RE LORETO - VIA MEUCCI,6,ritorno,FIGC
08/11/2025,PONTERANICA,TREALBE CALCIO A.S.D.,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,PONTERANICA - VIA VIII MARZO,6,andata,FIGC
14/03/2026,TREALBE CALCIO A.S.D.,PONTERANICA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,TREVIOLO - VIA AREONAUTICA N.3,6,ritorno,FIGC
15/11/2025,ACC.CALCIO A.V. BREMBANA,CELADINA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,SAN GIOVANNI BIANCO - VIA BRIOLO ENTRO SNC,7,andata,FIGC
21/03/2026,CELADINA,ACC.CALCIO A.V. BREMBANA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,BERGAMO Q.RE CELADINA - VIA PIZZO SCAIS 1,7,ritorno,FIGC
15/11/2025,BERGAMO FC 1971 ASD,PONTERANICA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,BERGAMO Q.RE LORETO - VIA MEUCCI,7,andata,FIGC
21/03/2026,PONTERANICA,BERGAMO FC 1971 ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,PONTERANICA - VIA VIII MARZO,7,ritorno,FIGC
15/11/2025,MALPENSATA CAMPAGNOLA,GRASSOBBIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:45,BERGAMO Q.RE CAMPAGNOLA - VIA GASPARINI,7,andata,FIGC
21/03/2026,GRASSOBBIO,MALPENSATA CAMPAGNOLA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"GRASSOBBIO - VIA XXV APRILE,80",7,ritorno,FIGC
