22/11/2025, Aurora Seriate 1967, Ponteranica, Pulcini 7>7 10 anni BG, C, 14:00, Seriate Via Deco e Canetta 66,8, Andata, FIGC
22/11/2025, Calcio Gorle ASD, Ares Redona, Pulcini 7>7 10 anni BG, C, 14:15, Gorle Via Roma 2A,8, Andata, FIGC
22/11/2025, La Torre Calcio ASD, Scanzorosciate Calcio ASD, Pulcini 7>7 10 anni BG, C, 16:30, Torre Boldone Viale Lombardia 44,8, Andata, FIGC
22/11/2025, Polisportiva Dei Colli, Citta  di Alzano1921 ASD, Pulcini 7>7 10 anni BG, C, 14:30, Bergamo Q.re Valtesse Via Baioni 16,8, Andata, FIGC
22/11/2025, Rovetta U.S. ASD, Nembrese 1913, Pulcini 7>7 10 anni BG, C, 15:00, Onore Via Corni 376,8, Andata, FIGC
29/11/2025, Ares Redona, La Torre Calcio ASD, Pulcini 7>7 10 anni BG, C, 14:30, Bergamo Q.re Redona Via Goisis,9, Andata, FIGC
29/11/2025, Citta  di Alzano1921 ASD, Calcio Gorle ASD, Pulcini 7>7 10 anni BG, C, 14:30, Alzano Lombardo Via Europa 50,9, Andata, FIGC
29/11/2025, Nembrese 1913, Aurora Seriate 1967, Pulcini 7>7 10 anni BG, C, 14:30, Nembro Via Nembrini SNC,9, Andata, FIGC
29/11/2025, Ponteranica, Polisportiva Dei Colli, Pulcini 7>7 10 anni BG, C, 15:00, Ponteranica Via 8 Marzo 13,9, Andata, FIGC
29/11/2025, Scanzorosciate Calcio ASD, Rovetta U.S. ASD, Pulcini 7>7 10 anni BG, C, 14:30, Scanzorosciate Via Polcarezzo 2,9, Andata, FIGC
