Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
07/03/2026,SCANZOROSCIATE CALCIO ASD,G.S. VERTOVESE SSDARL,Esordienti 11 anni,Girone A,15:30,SCANZOROSCIATE VIA POLCAREZZO 2,6,ritorno,FIGC
07/03/2026,REAL CALEPINA F.C. SSDARL,PONTISOLA CALCIO,Esordienti 11 anni,Girone A,15:30,GRUMELLO DEL MONTE VIA DON PIETRO BELOTTI,6,ritorno,FIGC
15/11/2025,CARAVAGGIO SRL,G.S. VERTOVESE SSDARL,Esordienti 11 anni,Girone A,15:45,CARAVAGGIO VIA G.CASTOLDI 11,7,andata,FIGC
15/11/2025,REAL CALEPINA F.C. SSDARL,CALCIO GORLE A.S.D.,Esordienti 11 anni,Girone A,15:30,GRUMELLO DEL MONTE VIA DON PIETRO BELOTTI,7,andata,FIGC
15/11/2025,SCANZOROSCIATE CALCIO ASD,A.C. PONTE S.P. - MAPSQ.B,Esordienti 11 anni,Girone A,15:30,SCANZOROSCIATE VIA POLCAREZZO 2,7,andata,FIGC
15/11/2025,TRITIUM CALCIO 1908 A RL,PONTISOLA CALCIO,Esordienti 11 anni,Girone A,16:45,TREZZO SULL'ADDA VIA ROCCA 19,7,andata,FIGC
15/11/2025,UESSE SARNICO 1908 SQ.B,ATALANTA BERGAMASCA C.SRL,Esordienti 11 anni,Girone A,14:30,SARNICO VIA OLIMPIA 4,7,andata,FIGC
14/03/2026,G.S. VERTOVESE SSDARL,CARAVAGGIO SRL,Esordienti 11 anni,Girone A,15:00,VERTOVA VIA FORNI 28,7,ritorno,FIGC
14/03/2026,CALCIO GORLE A.S.D.,REAL CALEPINA F.C. SSDARL,Esordienti 11 anni,Girone A,14:15,GORLE VIA ROMA 2A,7,ritorno,FIGC
14/03/2026,A.C. PONTE S.P. - MAPSQ.B,SCANZOROSCIATE CALCIO ASD,Esordienti 11 anni,Girone A,16:00,MAPELLO VIA DEL LAZZARINO 1,7,ritorno,FIGC
14/03/2026,PONTISOLA CALCIO,TRITIUM CALCIO 1908 A RL,Esordienti 11 anni,Girone A,14:30,CURNO FRAZIONE MARIGOLDA VIA ABRUZZI 9,7,ritorno,FIGC
14/03/2026,ATALANTA BERGAMASCA C.SRL,UESSE SARNICO 1908 SQ.B,Esordienti 11 anni,Girone A,14:30,BREMBATE VIA ORATORIO 20,7,ritorno,FIGC
22/11/2025,ATALANTA BERGAMASCA C.SRL,A.C. PONTE S.P. - MAPSQ.B,Esordienti 11 anni,Girone A,14:30,BREMBATE VIA ORATORIO 20,8,andata,FIGC
22/11/2025,CALCIO GORLE A.S.D.,TRITIUM CALCIO 1908 A RL,Esordienti 11 anni,Girone A,14:15,GORLE VIA ROMA 2A,8,andata,FIGC
22/11/2025,CARAVAGGIO SRL,SCANZOROSCIATE CALCIO ASD,Esordienti 11 anni,Girone A,15:45,CARAVAGGIO VIA G.CASTOLDI 11,8,andata,FIGC
22/11/2025,G.S. VERTOVESE SSDARL,REAL CALEPINA F.C. SSDARL,Esordienti 11 anni,Girone A,15:00,VERTOVA VIA FORNI 28,8,andata,FIGC
